FUNC __main__.evolve 55.1055 1643358501.3000 70.8828 1643358502.0379 1
FUNC __main__.run_experiment 51.5234 1643358501.2966 58.5273 1643358502.0427 0
FUNC .create_new_grid 55.1055 1643358501.5012 58.1992 1643358501.5109 2
FUNC .Advance_u_in_time 58.1992 1643358501.7119 70.8828 1643358502.0378 2
CMDLINE /usr/bin/python3 diffusion.py
MEM 1.132812 1643358500.8448
MEM 19.910156 1643358500.9452
MEM 29.917969 1643358501.0455
MEM 38.531250 1643358501.1459
MEM 46.519531 1643358501.2464
MEM 55.105469 1643358501.3470
MEM 55.105469 1643358501.4478
MEM 58.199219 1643358501.5486
MEM 58.199219 1643358501.6495
MEM 59.375000 1643358501.7499
MEM 63.625000 1643358501.8503
MEM 67.632812 1643358501.9506
MEM 58.527344 1643358502.0511
